fecha,medio,titular,zona_portada,seccion,url
2025-07-17,0223,Los hermanos que tenían medio kilo de cocaína y armas se negaron a declarar,seguridad_8,Droga,https://www.0223.com.ar/nota/2025-7-15-20-14-0-los-hermanos-que-tenian-medio-kilo-de-cocaina-y-armas-se-negaron-a-declarar
2025-07-17,0223,"""Cacho"" Fangio, entre el recuerdo a 30 años de la muerte de su padre y el presente de Colapinto: ""Está en un equipo mediocre""",deportes_1,Fórmula 1,https://www.0223.com.ar/nota/2025-7-17-15-42-0-cacho-fangio-entre-el-recuerdo-a-30-anos-de-la-muerte-de-su-padre-y-el-presente-de-colapinto-esta-en-un-equipo-mediocre
2025-07-17,0223,Confirmado: vuelven los visitantes a las canchas del fútbol argentino,deportes_2,AFA,https://www.0223.com.ar/nota/2025-7-17-13-17-0-confirmado-vuelven-los-visitantes-a-las-canchas-del-futbol-argentino
2025-07-17,0223,"Otro candidato a presidente de Boca apuntó contra Riquelme: ""Si hubiera elecciones a fin de año las gano yo""",deportes_3,Fútbol Argentino,https://www.0223.com.ar/nota/2025-7-17-12-43-0-otro-candidato-a-presidente-de-boca-que-apunto-contra-riquelme-si-hubiera-elecciones-a-fin-de-ano-las-gano-yo
2025-07-17,0223,"""Dibu"" Martínez volvió un ratito a Independiente para una campaña de concientización",deportes_4,Fútbol Argentino,https://www.0223.com.ar/nota/2025-7-17-13-51-0-dibu-martinez-volvio-un-ratito-a-independiente-para-una-campana-de-concientizacion
2025-07-17,0223,Preocupa la evolución de la “Locomotora” Oliveras tras la operación: sigue en estado “muy crítico”,deportes_5,Boxeo,https://www.0223.com.ar/nota/2025-7-17-10-21-0-preocupa-la-evolucion-de-la-locomotora-oliveras-tras-la-operacion-sigue-en-estado-muy-critico
2025-07-17,0223,Cómo serán las obras y los nuevos accesos: cercarán todo el Campo de Deportes Teodoro Bronzini,deportes_6,Licitación del Campo de Deportes,https://www.0223.com.ar/nota/2025-7-16-16-7-0-como-seran-las-obras-y-los-nuevos-accesos-cercaran-todo-el-campo-de-deportes-teodoro-bronzini
2025-07-17,0223,Mucha actividad para marplatenses en la ciudad y el exterior,deportes_7,Squash,https://www.0223.com.ar/nota/2025-7-17-14-7-0-mucha-actividad-para-marplatenses-en-la-ciudad-y-el-exterior
2025-07-17,0223,Massimo Contessi tuvo una gran actuación en el Mundial de Moth,deportes_8,Yachting,https://www.0223.com.ar/nota/2025-7-17-13-6-0-massimo-contessi-tuvo-una-gran-actuacion-en-el-mundial-de-moth
2025-07-17,0223,"Wanda habló del ""plan macabro"" de Icardi y la China: ""Incluye bebés y mucho odio""",espectaculos_1,Wanda,https://www.0223.com.ar/nota/2025-7-17-10-26-0-wanda-hablo-del-plan-macabro-de-icardi-y-la-china-incluye-bebes-y-mucho-odio
2025-07-17,0223,"Vuelve ""El funeral de los objetos"": teatro música y psicoanálisis lacaniano al servicio del público",espectaculos_2,Teatro,https://www.0223.com.ar/nota/2025-7-17-9-24-0-vuelve-el-funeral-de-los-objetos-teatro-musica-y-psicoanalisis-lacaniano-al-servicio-del-publico
2025-07-17,0223,Bomba: el romance entre una modelo marplatense y una figura de Boca,espectaculos_3,Romance,https://www.0223.com.ar/nota/2025-7-17-9-21-0-bomba-el-romance-entre-una-modelo-marplatense-y-una-figura-de-boca
2025-07-17,0223,Las mujeres de Lorca sorprenderán a marplatenses y turistas,espectaculos_4,Teatro,https://www.0223.com.ar/nota/2025-7-16-8-51-0-las-mujeres-de-lorca-sorprenderan-a-marplatenses-y-turistas
